"G16_LjRoot125","G16_LjRoot125",142,14,136,74,10,155,95,8,98,61,16,141,377,336,112,134,235,219,363,483,76,107,116,139,116,109,178,89,118,122,166,116,137,111,70,148,40,124,47,112,72,163,337,109
"LjRoot82","LjRoot82",60,7,366,41,2,219,14,0,286,56,7,205,151,197,100,185,144,143,114,147,105,162,132,147,152,228,133,138,94,131,87,107,61,71,34,120,38,297,43,132,78,179,198,390
"G20_LjRoot162","G20_LjRoot162",58,3,205,63,11,296,53,0,293,36,13,347,115,107,77,199,118,85,82,107,73,190,156,145,130,148,117,176,160,174,89,134,155,217,113,161,224,222,256,241,85,246,109,142
"LjRoot183","LjRoot183",34,1,93,36,5,117,115,0,178,65,13,125,379,167,272,203,223,130,440,173,122,109,142,117,143,120,158,93,244,166,314,167,317,179,100,99,98,129,320,208,141,150,146,153
"G1_LjRoot134","G1_LjRoot134",129,7,113,61,1,96,72,40,73,89,6,58,79,37,56,81,78,58,62,49,72,89,150,139,127,130,107,138,78,56,61,65,79,119,36,87,54,80,104,86,44,72,57,78
"LjRoot71","LjRoot71",2,1,25,4,0,53,1,0,129,1,5,97,18,281,0,60,15,236,30,227,0,72,1,83,12,37,32,75,12,112,3,40,3,76,1,45,2,46,1,80,4,64,292,35
"LjRoot289","LjRoot289",81,10,69,41,6,72,59,0,77,82,20,110,10,10,29,91,19,31,49,47,37,156,49,87,29,135,98,123,71,86,25,41,42,79,7,30,51,79,24,56,55,78,9,88
"LjRoot3","LjRoot3",70,2,42,40,4,44,130,3,33,31,7,27,109,55,63,45,104,69,92,103,54,38,66,33,50,41,65,61,53,44,51,29,39,32,9,35,27,39,43,44,32,60,55,40
"G4_LjRoot26","G4_LjRoot26",11,6,29,8,5,45,14,0,36,11,4,62,34,72,25,40,33,72,29,93,11,48,32,78,14,51,48,64,38,71,31,50,46,61,26,63,18,48,18,42,16,61,68,22
"LjRoot18","LjRoot18",20,1,34,6,1,28,21,0,37,11,3,51,0,13,38,60,2,11,2,12,31,63,35,47,18,57,32,70,29,20,93,75,92,65,19,117,19,55,51,130,14,80,13,131
"G6_LjRoot130","G6_LjRoot130",17,0,24,22,0,31,17,0,33,15,8,31,31,27,42,50,59,30,38,26,20,49,29,51,30,47,49,49,45,70,36,60,39,79,10,54,32,27,26,58,20,48,24,53
"G17_LjRoot232","G17_LjRoot232",15,1,50,0,0,73,7,0,79,10,5,80,16,34,14,27,31,36,28,30,31,64,44,47,43,36,0,21,22,119,36,34,42,48,32,41,14,33,11,29,23,37,25,33
"LjRoot227","LjRoot227",32,1,20,31,0,34,42,1,20,48,4,21,15,14,51,22,18,6,4,7,27,24,37,18,42,33,53,27,38,14,62,17,79,35,46,45,39,19,29,19,33,25,10,40
"LjRoot219","LjRoot219",33,1,25,39,2,23,41,0,21,41,3,24,35,40,14,28,41,24,20,36,12,33,24,24,43,18,36,42,43,25,20,15,47,19,19,26,22,17,14,16,28,20,27,12
"LjRoot122","LjRoot122",31,0,49,7,0,57,5,0,32,8,0,27,88,185,13,51,76,275,53,213,5,57,6,64,6,48,29,52,26,93,7,35,17,32,25,103,10,48,7,37,14,53,164,35
"LjRoot243","LjRoot243",30,2,7,31,9,10,34,0,8,34,0,11,20,17,25,25,33,13,12,9,30,15,54,15,47,19,87,33,43,20,68,18,91,25,14,26,40,13,46,25,33,15,15,15
"G12_LjRoot70","G12_LjRoot70",13,0,38,10,0,17,0,0,56,17,0,45,12,27,0,0,39,39,10,0,24,46,41,69,0,25,0,25,19,36,0,31,0,16,0,9,0,17,18,16,22,34,16,18
"G29_LjRoot226","G29_LjRoot226",18,3,19,12,1,18,13,0,13,17,2,13,42,17,17,11,37,11,37,26,15,10,34,20,31,17,19,26,18,11,17,21,20,13,7,25,26,21,8,14,13,20,19,14
"G22_LjRoot238","G22_LjRoot238",18,1,17,17,1,18,16,1,33,10,3,12,24,21,6,22,36,26,11,15,14,22,25,22,19,11,30,21,19,14,25,15,22,15,16,23,9,7,14,41,12,24,31,16
